"relocating_to","nationality","visa_type","salary_range","family_relocating"
"DE-KOELN","GB","blue card",">90.000","Yes"
"DE-BONN","GB","blue card",">90.000","Yes"
"DE-STUTTGART","GB","blue card",">90.000","Yes"
"DE-DUESSELDORF","GB","blue card",">90.000","Yes"
"DE-FRANKFURT","GB","blue card",">90.000","Yes"
"DE-DORTMUND","GB","blue card",">90.000","Yes"
"DE-HAMBURG","Switzerland","blue card",">90.000","Yes"
"DE-BERLIN","Switzerland","blue card",">90.000","Yes"
"DE-MUENCHEN","Switzerland","blue card",">90.000","Yes"
"DE-KOELN","Switzerland","blue card",">90.000","Yes"
"DE-BONN","Switzerland","blue card",">90.000","Yes"
"DE-STUTTGART","Switzerland","blue card",">90.000","Yes"
"DE-DUESSELDORF","Switzerland","blue card",">90.000","Yes"
"DE-FRANKFURT","Switzerland","blue card",">90.000","Yes"
"DE-DORTMUND","Switzerland","blue card",">90.000","Yes"
"DE-HAMBURG","Third-country","none",">90.000","Yes"
"DE-BERLIN","Third-country","none",">90.000","Yes"
"DE-MUENCHEN","Third-country","none",">90.000","Yes"
"DE-KOELN","Third-country","none",">90.000","Yes"
"DE-BONN","Third-country","none",">90.000","Yes"
"DE-STUTTGART","Third-country","none",">90.000","Yes"
"DE-DUESSELDORF","Third-country","none",">90.000","Yes"
"DE-FRANKFURT","Third-country","none",">90.000","Yes"
"DE-DORTMUND","Third-country","none",">90.000","Yes"
"DE-HAMBURG","EU","none",">90.000","Yes"
"DE-BERLIN","EU","none",">90.000","Yes"
"DE-MUENCHEN","EU","none",">90.000","Yes"
"DE-KOELN","EU","none",">90.000","Yes"
"DE-BONN","EU","none",">90.000","Yes"
"DE-STUTTGART","EU","none",">90.000","Yes"
"DE-DUESSELDORF","EU","none",">90.000","Yes"
"DE-FRANKFURT","EU","none",">90.000","Yes"
"DE-DORTMUND","EU","none",">90.000","Yes"
"DE-HAMBURG","Privileged","none",">90.000","Yes"
"DE-BERLIN","Privileged","none",">90.000","Yes"
"DE-MUENCHEN","Privileged","none",">90.000","Yes"
"DE-KOELN","Privileged","none",">90.000","Yes"
"DE-BONN","Privileged","none",">90.000","Yes"
"DE-STUTTGART","Privileged","none",">90.000","Yes"
"DE-DUESSELDORF","Privileged","none",">90.000","Yes"
"DE-FRANKFURT","Privileged","none",">90.000","Yes"
"DE-DORTMUND","Privileged","none",">90.000","Yes"
"DE-HAMBURG","GB","none",">90.000","Yes"
"DE-BERLIN","GB","none",">90.000","Yes"
"DE-MUENCHEN","GB","none",">90.000","Yes"
"DE-KOELN","GB","none",">90.000","Yes"
"DE-BONN","GB","none",">90.000","Yes"
"DE-STUTTGART","GB","none",">90.000","Yes"
"DE-DUESSELDORF","GB","none",">90.000","Yes"
"DE-FRANKFURT","GB","none",">90.000","Yes"
"DE-DORTMUND","GB","none",">90.000","Yes"
"DE-HAMBURG","Switzerland","none",">90.000","Yes"
"DE-BERLIN","Switzerland","none",">90.000","Yes"
"DE-MUENCHEN","Switzerland","none",">90.000","Yes"
"DE-KOELN","Switzerland","none",">90.000","Yes"
"DE-BONN","Switzerland","none",">90.000","Yes"
"DE-STUTTGART","Switzerland","none",">90.000","Yes"
"DE-DUESSELDORF","Switzerland","none",">90.000","Yes"
"DE-FRANKFURT","Switzerland","none",">90.000","Yes"
"DE-DORTMUND","Switzerland","none",">90.000","Yes"
"DE-HAMBURG","Third-country","visa","0-30.000","No"
"DE-BERLIN","Third-country","visa","0-30.000","No"
"DE-MUENCHEN","Third-country","visa","0-30.000","No"
"DE-KOELN","Third-country","visa","0-30.000","No"
"DE-BONN","Third-country","visa","0-30.000","No"
"DE-STUTTGART","Third-country","visa","0-30.000","No"
"DE-DUESSELDORF","Third-country","visa","0-30.000","No"
"DE-FRANKFURT","Third-country","visa","0-30.000","No"
"DE-DORTMUND","Third-country","visa","0-30.000","No"
"DE-HAMBURG","EU","visa","0-30.000","No"
"DE-BERLIN","EU","visa","0-30.000","No"
"DE-MUENCHEN","EU","visa","0-30.000","No"
"DE-KOELN","EU","visa","0-30.000","No"
"DE-BONN","EU","visa","0-30.000","No"
"DE-STUTTGART","EU","visa","0-30.000","No"
"DE-DUESSELDORF","EU","visa","0-30.000","No"
"DE-FRANKFURT","EU","visa","0-30.000","No"
"DE-DORTMUND","EU","visa","0-30.000","No"
"DE-HAMBURG","Privileged","visa","0-30.000","No"
"DE-BERLIN","Privileged","visa","0-30.000","No"
"DE-MUENCHEN","Privileged","visa","0-30.000","No"
"DE-KOELN","Privileged","visa","0-30.000","No"
"DE-BONN","Privileged","visa","0-30.000","No"
"DE-STUTTGART","Privileged","visa","0-30.000","No"
"DE-DUESSELDORF","Privileged","visa","0-30.000","No"
"DE-FRANKFURT","Privileged","visa","0-30.000","No"
"DE-DORTMUND","Privileged","visa","0-30.000","No"
"DE-HAMBURG","GB","visa","0-30.000","No"
"DE-BERLIN","GB","visa","0-30.000","No"
"DE-MUENCHEN","GB","visa","0-30.000","No"
"DE-KOELN","GB","visa","0-30.000","No"
"DE-BONN","GB","visa","0-30.000","No"
"DE-STUTTGART","GB","visa","0-30.000","No"
"DE-DUESSELDORF","GB","visa","0-30.000","No"
"DE-FRANKFURT","GB","visa","0-30.000","No"
"DE-DORTMUND","GB","visa","0-30.000","No"
"DE-HAMBURG","Switzerland","visa","0-30.000","No"
"DE-BERLIN","Switzerland","visa","0-30.000","No"
"DE-MUENCHEN","Switzerland","visa","0-30.000","No"
"DE-KOELN","Switzerland","visa","0-30.000","No"
"DE-BONN","Switzerland","visa","0-30.000","No"
"DE-STUTTGART","Switzerland","visa","0-30.000","No"
"DE-DUESSELDORF","Switzerland","visa","0-30.000","No"
"DE-FRANKFURT","Switzerland","visa","0-30.000","No"
"DE-DORTMUND","Switzerland","visa","0-30.000","No"
"DE-HAMBURG","Third-country","job seeker","0-30.000","No"
"DE-BERLIN","Third-country","job seeker","0-30.000","No"
"DE-MUENCHEN","Third-country","job seeker","0-30.000","No"
"DE-KOELN","Third-country","job seeker","0-30.000","No"
"DE-BONN","Third-country","job seeker","0-30.000","No"
"DE-STUTTGART","Third-country","job seeker","0-30.000","No"
"DE-DUESSELDORF","Third-country","job seeker","0-30.000","No"
"DE-FRANKFURT","Third-country","job seeker","0-30.000","No"
"DE-DORTMUND","Third-country","job seeker","0-30.000","No"
"DE-HAMBURG","EU","job seeker","0-30.000","No"
"DE-BERLIN","EU","job seeker","0-30.000","No"
"DE-MUENCHEN","EU","job seeker","0-30.000","No"
"DE-KOELN","EU","job seeker","0-30.000","No"
"DE-BONN","EU","job seeker","0-30.000","No"
"DE-STUTTGART","EU","job seeker","0-30.000","No"
"DE-DUESSELDORF","EU","job seeker","0-30.000","No"
"DE-FRANKFURT","EU","job seeker","0-30.000","No"
"DE-DORTMUND","EU","job seeker","0-30.000","No"
"DE-HAMBURG","Privileged","job seeker","0-30.000","No"
"DE-BERLIN","Privileged","job seeker","0-30.000","No"
"DE-MUENCHEN","Privileged","job seeker","0-30.000","No"
"DE-KOELN","Privileged","job seeker","0-30.000","No"
"DE-BONN","Privileged","job seeker","0-30.000","No"
"DE-STUTTGART","Privileged","job seeker","0-30.000","No"
"DE-DUESSELDORF","Privileged","job seeker","0-30.000","No"
"DE-FRANKFURT","Privileged","job seeker","0-30.000","No"
"DE-DORTMUND","Privileged","job seeker","0-30.000","No"
"DE-HAMBURG","GB","job seeker","0-30.000","No"
"DE-BERLIN","GB","job seeker","0-30.000","No"
"DE-MUENCHEN","GB","job seeker","0-30.000","No"
"DE-KOELN","GB","job seeker","0-30.000","No"
"DE-BONN","GB","job seeker","0-30.000","No"
"DE-STUTTGART","GB","job seeker","0-30.000","No"
"DE-DUESSELDORF","GB","job seeker","0-30.000","No"
"DE-FRANKFURT","GB","job seeker","0-30.000","No"
"DE-DORTMUND","GB","job seeker","0-30.000","No"
"DE-HAMBURG","Switzerland","job seeker","0-30.000","No"
"DE-BERLIN","Switzerland","job seeker","0-30.000","No"
"DE-MUENCHEN","Switzerland","job seeker","0-30.000","No"
"DE-KOELN","Switzerland","job seeker","0-30.000","No"
"DE-BONN","Switzerland","job seeker","0-30.000","No"
"DE-STUTTGART","Switzerland","job seeker","0-30.000","No"
"DE-DUESSELDORF","Switzerland","job seeker","0-30.000","No"
"DE-FRANKFURT","Switzerland","job seeker","0-30.000","No"
"DE-DORTMUND","Switzerland","job seeker","0-30.000","No"
"DE-HAMBURG","Third-country","valid rp","0-30.000","No"
"DE-BERLIN","Third-country","valid rp","0-30.000","No"
"DE-MUENCHEN","Third-country","valid rp","0-30.000","No"
"DE-KOELN","Third-country","valid rp","0-30.000","No"
"DE-BONN","Third-country","valid rp","0-30.000","No"
"DE-STUTTGART","Third-country","valid rp","0-30.000","No"
"DE-DUESSELDORF","Third-country","valid rp","0-30.000","No"
"DE-FRANKFURT","Third-country","valid rp","0-30.000","No"
"DE-DORTMUND","Third-country","valid rp","0-30.000","No"
"DE-HAMBURG","EU","valid rp","0-30.000","No"
"DE-BERLIN","EU","valid rp","0-30.000","No"
"DE-MUENCHEN","EU","valid rp","0-30.000","No"
"DE-KOELN","EU","valid rp","0-30.000","No"
"DE-BONN","EU","valid rp","0-30.000","No"
"DE-STUTTGART","EU","valid rp","0-30.000","No"
"DE-DUESSELDORF","EU","valid rp","0-30.000","No"
"DE-FRANKFURT","EU","valid rp","0-30.000","No"
"DE-DORTMUND","EU","valid rp","0-30.000","No"
"DE-HAMBURG","Privileged","valid rp","0-30.000","No"
"DE-BERLIN","Privileged","valid rp","0-30.000","No"
"DE-MUENCHEN","Privileged","valid rp","0-30.000","No"
"DE-KOELN","Privileged","valid rp","0-30.000","No"
"DE-BONN","Privileged","valid rp","0-30.000","No"
"DE-STUTTGART","Privileged","valid rp","0-30.000","No"
"DE-DUESSELDORF","Privileged","valid rp","0-30.000","No"
"DE-FRANKFURT","Privileged","valid rp","0-30.000","No"
"DE-DORTMUND","Privileged","valid rp","0-30.000","No"
"DE-HAMBURG","GB","valid rp","0-30.000","No"
"DE-BERLIN","GB","valid rp","0-30.000","No"
"DE-MUENCHEN","GB","valid rp","0-30.000","No"
"DE-KOELN","GB","valid rp","0-30.000","No"
"DE-BONN","GB","valid rp","0-30.000","No"
"DE-STUTTGART","GB","valid rp","0-30.000","No"
"DE-DUESSELDORF","GB","valid rp","0-30.000","No"
"DE-FRANKFURT","GB","valid rp","0-30.000","No"
"DE-DORTMUND","GB","valid rp","0-30.000","No"
"DE-HAMBURG","Switzerland","valid rp","0-30.000","No"
"DE-BERLIN","Switzerland","valid rp","0-30.000","No"
"DE-MUENCHEN","Switzerland","valid rp","0-30.000","No"
"DE-KOELN","Switzerland","valid rp","0-30.000","No"
"DE-BONN","Switzerland","valid rp","0-30.000","No"
"DE-STUTTGART","Switzerland","valid rp","0-30.000","No"
"DE-DUESSELDORF","Switzerland","valid rp","0-30.000","No"
"DE-FRANKFURT","Switzerland","valid rp","0-30.000","No"
"DE-DORTMUND","Switzerland","valid rp","0-30.000","No"
"DE-HAMBURG","Third-country","blue card","0-30.000","No"
"DE-BERLIN","Third-country","blue card","0-30.000","No"
"DE-MUENCHEN","Third-country","blue card","0-30.000","No"
"DE-KOELN","Third-country","blue card","0-30.000","No"
"DE-BONN","Third-country","blue card","0-30.000","No"
"DE-STUTTGART","Third-country","blue card","0-30.000","No"
"DE-DUESSELDORF","Third-country","blue card","0-30.000","No"
"DE-FRANKFURT","Third-country","blue card","0-30.000","No"
"DE-DORTMUND","Third-country","blue card","0-30.000","No"
"DE-HAMBURG","EU","blue card","0-30.000","No"
"DE-BERLIN","EU","blue card","0-30.000","No"
"DE-MUENCHEN","EU","blue card","0-30.000","No"
"DE-KOELN","EU","blue card","0-30.000","No"
"DE-BONN","EU","blue card","0-30.000","No"
"DE-STUTTGART","EU","blue card","0-30.000","No"
"DE-DUESSELDORF","EU","blue card","0-30.000","No"
"DE-FRANKFURT","EU","blue card","0-30.000","No"
"DE-DORTMUND","EU","blue card","0-30.000","No"
"DE-HAMBURG","Privileged","blue card","0-30.000","No"
"DE-BERLIN","Privileged","blue card","0-30.000","No"
"DE-MUENCHEN","Privileged","blue card","0-30.000","No"
"DE-KOELN","Privileged","blue card","0-30.000","No"
"DE-BONN","Privileged","blue card","0-30.000","No"
"DE-STUTTGART","Privileged","blue card","0-30.000","No"
"DE-DUESSELDORF","Privileged","blue card","0-30.000","No"
"DE-FRANKFURT","Privileged","blue card","0-30.000","No"
"DE-DORTMUND","Privileged","blue card","0-30.000","No"
"DE-HAMBURG","GB","blue card","0-30.000","No"
"DE-BERLIN","GB","blue card","0-30.000","No"
"DE-MUENCHEN","GB","blue card","0-30.000","No"
"DE-KOELN","GB","blue card","0-30.000","No"
"DE-BONN","GB","blue card","0-30.000","No"
"DE-STUTTGART","GB","blue card","0-30.000","No"
"DE-DUESSELDORF","GB","blue card","0-30.000","No"
"DE-FRANKFURT","GB","blue card","0-30.000","No"
"DE-DORTMUND","GB","blue card","0-30.000","No"
"DE-HAMBURG","Switzerland","blue card","0-30.000","No"
"DE-BERLIN","Switzerland","blue card","0-30.000","No"
"DE-MUENCHEN","Switzerland","blue card","0-30.000","No"
"DE-KOELN","Switzerland","blue card","0-30.000","No"
"DE-BONN","Switzerland","blue card","0-30.000","No"
"DE-STUTTGART","Switzerland","blue card","0-30.000","No"
"DE-DUESSELDORF","Switzerland","blue card","0-30.000","No"
"DE-FRANKFURT","Switzerland","blue card","0-30.000","No"
"DE-DORTMUND","Switzerland","blue card","0-30.000","No"
"DE-HAMBURG","Third-country","none","0-30.000","No"
"DE-BERLIN","Third-country","none","0-30.000","No"
"DE-MUENCHEN","Third-country","none","0-30.000","No"
"DE-KOELN","Third-country","none","0-30.000","No"
"DE-BONN","Third-country","none","0-30.000","No"
"DE-STUTTGART","Third-country","none","0-30.000","No"
"DE-DUESSELDORF","Third-country","none","0-30.000","No"
"DE-FRANKFURT","Third-country","none","0-30.000","No"
"DE-DORTMUND","Third-country","none","0-30.000","No"
"DE-HAMBURG","EU","none","0-30.000","No"
"DE-BERLIN","EU","none","0-30.000","No"
"DE-MUENCHEN","EU","none","0-30.000","No"
"DE-KOELN","EU","none","0-30.000","No"
"DE-BONN","EU","none","0-30.000","No"
"DE-STUTTGART","EU","none","0-30.000","No"
"DE-DUESSELDORF","EU","none","0-30.000","No"
"DE-FRANKFURT","EU","none","0-30.000","No"
"DE-DORTMUND","EU","none","0-30.000","No"
"DE-HAMBURG","Privileged","none","0-30.000","No"
"DE-BERLIN","Privileged","none","0-30.000","No"
"DE-MUENCHEN","Privileged","none","0-30.000","No"
"DE-KOELN","Privileged","none","0-30.000","No"
"DE-BONN","Privileged","none","0-30.000","No"
"DE-STUTTGART","Privileged","none","0-30.000","No"
"DE-DUESSELDORF","Privileged","none","0-30.000","No"
"DE-FRANKFURT","Privileged","none","0-30.000","No"
"DE-DORTMUND","Privileged","none","0-30.000","No"
"DE-HAMBURG","GB","none","0-30.000","No"
"DE-BERLIN","GB","none","0-30.000","No"
"DE-MUENCHEN","GB","none","0-30.000","No"
"DE-KOELN","GB","none","0-30.000","No"
"DE-BONN","GB","none","0-30.000","No"
"DE-STUTTGART","GB","none","0-30.000","No"
"DE-DUESSELDORF","GB","none","0-30.000","No"
"DE-FRANKFURT","GB","none","0-30.000","No"
"DE-DORTMUND","GB","none","0-30.000","No"
"DE-HAMBURG","Switzerland","none","0-30.000","No"
"DE-BERLIN","Switzerland","none","0-30.000","No"
"DE-MUENCHEN","Switzerland","none","0-30.000","No"
"DE-KOELN","Switzerland","none","0-30.000","No"
"DE-BONN","Switzerland","none","0-30.000","No"
"DE-STUTTGART","Switzerland","none","0-30.000","No"
"DE-DUESSELDORF","Switzerland","none","0-30.000","No"
"DE-FRANKFURT","Switzerland","none","0-30.000","No"
"DE-DORTMUND","Switzerland","none","0-30.000","No"
"DE-HAMBURG","Third-country","visa","30.001-40.560","No"
"DE-BERLIN","Third-country","visa","30.001-40.560","No"
"DE-MUENCHEN","Third-country","visa","30.001-40.560","No"
"DE-KOELN","Third-country","visa","30.001-40.560","No"
"DE-BONN","Third-country","visa","30.001-40.560","No"
"DE-STUTTGART","Third-country","visa","30.001-40.560","No"
"DE-DUESSELDORF","Third-country","visa","30.001-40.560","No"
"DE-FRANKFURT","Third-country","visa","30.001-40.560","No"
"DE-DORTMUND","Third-country","visa","30.001-40.560","No"
"DE-HAMBURG","EU","visa","30.001-40.560","No"
"DE-BERLIN","EU","visa","30.001-40.560","No"
"DE-MUENCHEN","EU","visa","30.001-40.560","No"
"DE-KOELN","EU","visa","30.001-40.560","No"
"DE-BONN","EU","visa","30.001-40.560","No"
"DE-STUTTGART","EU","visa","30.001-40.560","No"
"DE-DUESSELDORF","EU","visa","30.001-40.560","No"
"DE-FRANKFURT","EU","visa","30.001-40.560","No"
"DE-DORTMUND","EU","visa","30.001-40.560","No"
"DE-HAMBURG","Privileged","visa","30.001-40.560","No"
"DE-BERLIN","Privileged","visa","30.001-40.560","No"
"DE-MUENCHEN","Privileged","visa","30.001-40.560","No"
"DE-KOELN","Privileged","visa","30.001-40.560","No"
"DE-BONN","Privileged","visa","30.001-40.560","No"
"DE-STUTTGART","Privileged","visa","30.001-40.560","No"
"DE-DUESSELDORF","Privileged","visa","30.001-40.560","No"
"DE-FRANKFURT","Privileged","visa","30.001-40.560","No"
"DE-DORTMUND","Privileged","visa","30.001-40.560","No"
"DE-HAMBURG","GB","visa","30.001-40.560","No"
"DE-BERLIN","GB","visa","30.001-40.560","No"
"DE-MUENCHEN","GB","visa","30.001-40.560","No"
"DE-KOELN","GB","visa","30.001-40.560","No"
"DE-BONN","GB","visa","30.001-40.560","No"
"DE-STUTTGART","GB","visa","30.001-40.560","No"
"DE-DUESSELDORF","GB","visa","30.001-40.560","No"
"DE-FRANKFURT","GB","visa","30.001-40.560","No"
"DE-DORTMUND","GB","visa","30.001-40.560","No"
"DE-HAMBURG","Switzerland","visa","30.001-40.560","No"
"DE-BERLIN","Switzerland","visa","30.001-40.560","No"
"DE-MUENCHEN","Switzerland","visa","30.001-40.560","No"
"DE-KOELN","Switzerland","visa","30.001-40.560","No"
"DE-BONN","Switzerland","visa","30.001-40.560","No"
"DE-STUTTGART","Switzerland","visa","30.001-40.560","No"
"DE-DUESSELDORF","Switzerland","visa","30.001-40.560","No"
"DE-FRANKFURT","Switzerland","visa","30.001-40.560","No"
"DE-DORTMUND","Switzerland","visa","30.001-40.560","No"
"DE-HAMBURG","Third-country","job seeker","30.001-40.560","No"
"DE-BERLIN","Third-country","job seeker","30.001-40.560","No"
"DE-MUENCHEN","Third-country","job seeker","30.001-40.560","No"
"DE-KOELN","Third-country","job seeker","30.001-40.560","No"
"DE-BONN","Third-country","job seeker","30.001-40.560","No"
"DE-STUTTGART","Third-country","job seeker","30.001-40.560","No"
"DE-DUESSELDORF","Third-country","job seeker","30.001-40.560","No"
"DE-FRANKFURT","Third-country","job seeker","30.001-40.560","No"
"DE-DORTMUND","Third-country","job seeker","30.001-40.560","No"
"DE-HAMBURG","EU","job seeker","30.001-40.560","No"
"DE-BERLIN","EU","job seeker","30.001-40.560","No"
"DE-MUENCHEN","EU","job seeker","30.001-40.560","No"
"DE-KOELN","EU","job seeker","30.001-40.560","No"
"DE-BONN","EU","job seeker","30.001-40.560","No"
"DE-STUTTGART","EU","job seeker","30.001-40.560","No"
"DE-DUESSELDORF","EU","job seeker","30.001-40.560","No"
"DE-FRANKFURT","EU","job seeker","30.001-40.560","No"
"DE-DORTMUND","EU","job seeker","30.001-40.560","No"
"DE-HAMBURG","Privileged","job seeker","30.001-40.560","No"
"DE-BERLIN","Privileged","job seeker","30.001-40.560","No"
"DE-MUENCHEN","Privileged","job seeker","30.001-40.560","No"
"DE-KOELN","Privileged","job seeker","30.001-40.560","No"
"DE-BONN","Privileged","job seeker","30.001-40.560","No"
"DE-STUTTGART","Privileged","job seeker","30.001-40.560","No"
"DE-DUESSELDORF","Privileged","job seeker","30.001-40.560","No"
"DE-FRANKFURT","Privileged","job seeker","30.001-40.560","No"
"DE-DORTMUND","Privileged","job seeker","30.001-40.560","No"
"DE-HAMBURG","GB","job seeker","30.001-40.560","No"
"DE-BERLIN","GB","job seeker","30.001-40.560","No"
"DE-MUENCHEN","GB","job seeker","30.001-40.560","No"
"DE-KOELN","GB","job seeker","30.001-40.560","No"
"DE-BONN","GB","job seeker","30.001-40.560","No"
"DE-STUTTGART","GB","job seeker","30.001-40.560","No"
"DE-DUESSELDORF","GB","job seeker","30.001-40.560","No"
"DE-FRANKFURT","GB","job seeker","30.001-40.560","No"
"DE-DORTMUND","GB","job seeker","30.001-40.560","No"
"DE-HAMBURG","Switzerland","job seeker","30.001-40.560","No"
"DE-BERLIN","Switzerland","job seeker","30.001-40.560","No"
"DE-MUENCHEN","Switzerland","job seeker","30.001-40.560","No"
"DE-KOELN","Switzerland","job seeker","30.001-40.560","No"
"DE-BONN","Switzerland","job seeker","30.001-40.560","No"
"DE-STUTTGART","Switzerland","job seeker","30.001-40.560","No"
"DE-DUESSELDORF","Switzerland","job seeker","30.001-40.560","No"
"DE-FRANKFURT","Switzerland","job seeker","30.001-40.560","No"
"DE-DORTMUND","Switzerland","job seeker","30.001-40.560","No"
"DE-HAMBURG","Third-country","valid rp","30.001-40.560","No"
"DE-BERLIN","Third-country","valid rp","30.001-40.560","No"
"DE-MUENCHEN","Third-country","valid rp","30.001-40.560","No"
"DE-KOELN","Third-country","valid rp","30.001-40.560","No"
"DE-BONN","Third-country","valid rp","30.001-40.560","No"
"DE-STUTTGART","Third-country","valid rp","30.001-40.560","No"
"DE-DUESSELDORF","Third-country","valid rp","30.001-40.560","No"
"DE-FRANKFURT","Third-country","valid rp","30.001-40.560","No"
"DE-DORTMUND","Third-country","valid rp","30.001-40.560","No"
"DE-HAMBURG","EU","valid rp","30.001-40.560","No"
"DE-BERLIN","EU","valid rp","30.001-40.560","No"
"DE-MUENCHEN","EU","valid rp","30.001-40.560","No"
"DE-KOELN","EU","valid rp","30.001-40.560","No"
"DE-BONN","EU","valid rp","30.001-40.560","No"
"DE-STUTTGART","EU","valid rp","30.001-40.560","No"
"DE-DUESSELDORF","EU","valid rp","30.001-40.560","No"
"DE-FRANKFURT","EU","valid rp","30.001-40.560","No"
"DE-DORTMUND","EU","valid rp","30.001-40.560","No"
"DE-HAMBURG","Privileged","valid rp","30.001-40.560","No"
"DE-BERLIN","Privileged","valid rp","30.001-40.560","No"
"DE-MUENCHEN","Privileged","valid rp","30.001-40.560","No"
"DE-KOELN","Privileged","valid rp","30.001-40.560","No"
"DE-BONN","Privileged","valid rp","30.001-40.560","No"
"DE-STUTTGART","Privileged","valid rp","30.001-40.560","No"
"DE-DUESSELDORF","Privileged","valid rp","30.001-40.560","No"
"DE-FRANKFURT","Privileged","valid rp","30.001-40.560","No"
"DE-DORTMUND","Privileged","valid rp","30.001-40.560","No"
"DE-HAMBURG","GB","valid rp","30.001-40.560","No"
"DE-BERLIN","GB","valid rp","30.001-40.560","No"
"DE-MUENCHEN","GB","valid rp","30.001-40.560","No"
"DE-KOELN","GB","valid rp","30.001-40.560","No"
"DE-BONN","GB","valid rp","30.001-40.560","No"
"DE-STUTTGART","GB","valid rp","30.001-40.560","No"
"DE-DUESSELDORF","GB","valid rp","30.001-40.560","No"
"DE-FRANKFURT","GB","valid rp","30.001-40.560","No"
"DE-DORTMUND","GB","valid rp","30.001-40.560","No"
"DE-HAMBURG","Switzerland","valid rp","30.001-40.560","No"
"DE-BERLIN","Switzerland","valid rp","30.001-40.560","No"
"DE-MUENCHEN","Switzerland","valid rp","30.001-40.560","No"
"DE-KOELN","Switzerland","valid rp","30.001-40.560","No"
"DE-BONN","Switzerland","valid rp","30.001-40.560","No"
"DE-STUTTGART","Switzerland","valid rp","30.001-40.560","No"
"DE-DUESSELDORF","Switzerland","valid rp","30.001-40.560","No"
"DE-FRANKFURT","Switzerland","valid rp","30.001-40.560","No"
"DE-DORTMUND","Switzerland","valid rp","30.001-40.560","No"
"DE-HAMBURG","Third-country","blue card","30.001-40.560","No"
"DE-BERLIN","Third-country","blue card","30.001-40.560","No"
"DE-MUENCHEN","Third-country","blue card","30.001-40.560","No"
"DE-KOELN","Third-country","blue card","30.001-40.560","No"
"DE-BONN","Third-country","blue card","30.001-40.560","No"
"DE-STUTTGART","Third-country","blue card","30.001-40.560","No"
"DE-DUESSELDORF","Third-country","blue card","30.001-40.560","No"
"DE-FRANKFURT","Third-country","blue card","30.001-40.560","No"
"DE-DORTMUND","Third-country","blue card","30.001-40.560","No"
"DE-HAMBURG","EU","blue card","30.001-40.560","No"
"DE-BERLIN","EU","blue card","30.001-40.560","No"
"DE-MUENCHEN","EU","blue card","30.001-40.560","No"
"DE-KOELN","EU","blue card","30.001-40.560","No"
"DE-BONN","EU","blue card","30.001-40.560","No"
"DE-STUTTGART","EU","blue card","30.001-40.560","No"
"DE-DUESSELDORF","EU","blue card","30.001-40.560","No"
"DE-FRANKFURT","EU","blue card","30.001-40.560","No"
"DE-DORTMUND","EU","blue card","30.001-40.560","No"
"DE-HAMBURG","Privileged","blue card","30.001-40.560","No"
"DE-BERLIN","Privileged","blue card","30.001-40.560","No"
"DE-MUENCHEN","Privileged","blue card","30.001-40.560","No"
"DE-KOELN","Privileged","blue card","30.001-40.560","No"
"DE-BONN","Privileged","blue card","30.001-40.560","No"
"DE-STUTTGART","Privileged","blue card","30.001-40.560","No"
"DE-DUESSELDORF","Privileged","blue card","30.001-40.560","No"
"DE-FRANKFURT","Privileged","blue card","30.001-40.560","No"
"DE-DORTMUND","Privileged","blue card","30.001-40.560","No"
"DE-HAMBURG","GB","blue card","30.001-40.560","No"
"DE-BERLIN","GB","blue card","30.001-40.560","No"
"DE-MUENCHEN","GB","blue card","30.001-40.560","No"
"DE-KOELN","GB","blue card","30.001-40.560","No"
"DE-BONN","GB","blue card","30.001-40.560","No"
"DE-STUTTGART","GB","blue card","30.001-40.560","No"
"DE-DUESSELDORF","GB","blue card","30.001-40.560","No"
"DE-FRANKFURT","GB","blue card","30.001-40.560","No"
"DE-DORTMUND","GB","blue card","30.001-40.560","No"
"DE-HAMBURG","Switzerland","blue card","30.001-40.560","No"
"DE-BERLIN","Switzerland","blue card","30.001-40.560","No"
"DE-MUENCHEN","Switzerland","blue card","30.001-40.560","No"
"DE-KOELN","Switzerland","blue card","30.001-40.560","No"
"DE-BONN","Switzerland","blue card","30.001-40.560","No"
"DE-STUTTGART","Switzerland","blue card","30.001-40.560","No"
"DE-DUESSELDORF","Switzerland","blue card","30.001-40.560","No"
"DE-FRANKFURT","Switzerland","blue card","30.001-40.560","No"
"DE-DORTMUND","Switzerland","blue card","30.001-40.560","No"
"DE-HAMBURG","Third-country","none","30.001-40.560","No"
"DE-BERLIN","Third-country","none","30.001-40.560","No"
"DE-MUENCHEN","Third-country","none","30.001-40.560","No"
"DE-KOELN","Third-country","none","30.001-40.560","No"
"DE-BONN","Third-country","none","30.001-40.560","No"
"DE-STUTTGART","Third-country","none","30.001-40.560","No"
"DE-DUESSELDORF","Third-country","none","30.001-40.560","No"
"DE-FRANKFURT","Third-country","none","30.001-40.560","No"
"DE-DORTMUND","Third-country","none","30.001-40.560","No"
"DE-HAMBURG","EU","none","30.001-40.560","No"
"DE-BERLIN","EU","none","30.001-40.560","No"
"DE-MUENCHEN","EU","none","30.001-40.560","No"
"DE-KOELN","EU","none","30.001-40.560","No"
"DE-BONN","EU","none","30.001-40.560","No"
"DE-STUTTGART","EU","none","30.001-40.560","No"
"DE-DUESSELDORF","EU","none","30.001-40.560","No"
"DE-FRANKFURT","EU","none","30.001-40.560","No"
"DE-DORTMUND","EU","none","30.001-40.560","No"
"DE-HAMBURG","Privileged","none","30.001-40.560","No"
